mode,J,svm_f1,svm_accuracy,lr_f1,lr_accuracy
red,5,0.8,0.863013698630137,0.7766990291262136,0.8424657534246576
red,6,0.8076923076923077,0.863013698630137,0.7735849056603774,0.8356164383561644
